router,type,owner,chassis,pop,address,city,state,clli_code,isis_interface,adj_router,adj_router_type,adj_router_owner,adj_router_chassis,adj_interface,bandwidth_kbps
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae7.0,ANC-EDGE-02,EDGE,QCC,MX480,ae0.0,10000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae1.0,ANC-PRIV-20,PRIV,QCC,7750-SR-12,ae3,10000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae6.0,TUK-PCOR-20,PCOR,QCC,7950-XRS-20,ae8,10000000
ANC-PCOR-02,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae7.0,ANC-EDGE-02,EDGE,QCC,MX480,ae1.0,10000000
BHM1-ER1,ER,TWTC-JUNIPER,MX480,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-1/0/0.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,xe-0/3/0.0,10000000
VAR1.BHM2,VAR,TWTC-JUNIPER,MX10003,BHM2,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae20.0,SCR1.BIR1,SCR,GBLX,MX10003,ae20.0,100000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,xe-8/1/4.3012,ERR41.PHX1,ERR,GBLX,VRR,em0.0,10000000
